date,barbican,golden_lane,city_of_london_flats,london_flats,england_flats
2014-04-09,940000,,,,
2012-11-07,765000,,,,
1999-08-03,199500,,,,
2014-06-13,845000,,,,
2000-05-15,242050,,,,
2012-05-28,487000,,,,
1999-06-23,235000,,,,
2021-04-16,1285000,,,,
1999-08-06,407000,,,,
2009-12-18,710000,,,,
2001-11-09,450101,,,,
2004-02-20,280000,,,,
1999-01-22,125000,,,,
1995-12-08,92000,,,,
1997-09-10,116000,,,,
2017-12-01,830000,,,,
2004-12-22,327500,,,,
2018-12-07,705000,,,,
1999-07-23,160300,,,,
2004-07-16,317500,,,,
2001-07-12,280000,,,,
2010-04-23,499000,,,,
2007-04-27,475000,,,,
2022-04-14,1500000,,,,
2012-08-24,1075000,,,,
2003-02-14,490000,,,,
1998-04-03,230000,,,,
2002-08-30,487500,,,,
2000-06-26,340000,,,,
1998-12-01,282500,,,,
1996-03-01,170000,,,,
2020-08-10,1210000,,,,
2016-04-07,1100000,,,,
1997-06-12,156000,,,,
2013-07-22,775000,,,,
2007-11-15,845000,,,,
1998-05-19,192000,,,,
2015-09-18,895000,,,,
2000-04-19,198000,,,,
1995-11-01,99500,,,,
2009-07-31,300000,,,,
1999-02-01,99500,,,,
1999-06-01,135000,,,,
2008-10-17,444000,,,,
2004-04-26,499950,,,,
2000-08-15,387500,,,,
1998-12-23,103000,,,,
2005-10-28,305000,,,,
2003-08-08,250000,,,,
2000-10-31,212000,,,,
1999-04-30,142000,,,,
1998-02-10,122750,,,,
1999-08-19,172000,,,,
2019-09-19,880000,,,,
2016-03-29,840000,,,,
2007-04-03,725000,,,,
2012-02-15,735000,,,,
2003-12-05,370000,,,,
2022-06-23,770000,,,,
1999-03-25,149500,,,,
1995-01-05,96000,,,,
2021-06-25,650000,,,,
2001-01-22,208000,,,,
2017-10-12,860000,,,,
2011-04-14,570000,,,,
2007-07-06,607500,,,,
2003-06-23,335000,,,,
2002-03-07,280000,,,,
1997-10-10,150000,,,,
1997-04-07,140000,,,,
1996-05-14,125000,,,,
2005-05-20,190000,,,,
1997-06-23,80000,,,,
2022-02-25,810000,,,,
2007-02-28,375000,,,,
2000-08-11,290000,,,,
1999-01-29,225000,,,,
1996-07-16,155000,,,,
2003-10-10,540000,,,,
1997-03-14,247500,,,,
2004-05-20,305000,,,,
1995-03-17,100000,,,,
2004-08-19,320000,,,,
1996-06-27,97000,,,,
2010-09-20,822500,,,,
1997-05-09,195000,,,,
2002-07-12,515000,,,,
2010-01-06,895000,,,,
1996-10-16,159000,,,,
2022-06-28,702000,,,,
2020-03-31,885000,,,,
2014-04-09,854000,,,,
2011-07-29,640000,,,,
2006-12-14,431431,,,,
2015-09-22,895500,,,,
2004-08-06,299950,,,,
1998-04-07,128000,,,,
1995-08-31,210000,,,,
2006-06-09,310000,,,,
2001-02-02,214000,,,,
2000-06-30,175000,,,,
2017-06-07,110000,,,,
2022-03-02,525000,,,,
2011-08-26,610000,,,,
1996-02-29,65000,,,,
2023-09-13,1600000,,,,
2021-09-29,2110000,,,,
2001-09-14,550000,,,,
2001-07-30,250000,,,,
2004-07-02,210000,,,,
2002-08-16,190000,,,,
2022-10-26,925000,,,,
2005-12-19,250000,,,,
2000-03-10,145000,,,,
2021-06-04,480000,,,,
2001-08-17,180000,,,,
2012-01-12,260000,,,,
2004-05-17,175000,,,,
2016-02-04,1970000,,,,
1997-10-07,247500,,,,
2015-01-09,875000,,,,
2013-09-24,420000,,,,
2007-03-16,277000,,,,
2004-07-01,208000,,,,
2003-06-13,198000,,,,
2001-03-23,142000,,,,
2012-04-25,499950,,,,
2011-02-03,295000,,,,
2007-11-29,325000,,,,
1997-10-10,145000,,,,
2018-07-16,870000,,,,
2004-01-30,288000,,,,
1998-10-22,145000,,,,
2006-08-10,392000,,,,
1996-06-25,112000,,,,
2018-11-09,925000,,,,
2008-12-16,470000,,,,
1997-11-28,151000,,,,
1996-12-19,129500,,,,
2000-01-28,195000,,,,
2022-08-12,850000,,,,
2022-01-28,825000,,,,
2006-02-09,382500,,,,
2020-08-24,1680000,,,,
1996-04-16,215000,,,,
2005-02-28,336000,,,,
2001-07-02,237000,,,,
2011-01-12,562500,,,,
2007-08-10,495000,,,,
2021-09-13,712500,,,,
2015-09-02,775000,,,,
2009-08-28,377500,,,,
2002-07-29,270000,,,,
2009-09-28,935000,,,,
1999-12-09,330000,,,,
2003-03-28,250000,,,,
2010-01-15,250000,,,,
2006-06-28,190000,,,,
2023-05-26,525000,,,,
2011-09-13,345000,,,,
2003-11-14,192000,,,,
2001-03-20,130000,,,,
2007-09-20,360000,,,,
2005-04-08,208000,,,,
1996-10-31,59950,,,,
2021-08-27,775000,,,,
2024-01-17,925000,,,,
2015-09-02,850000,,,,
2005-10-26,385000,,,,
1997-05-29,140000,,,,
2016-03-16,1375000,,,,
2011-11-29,611898,,,,
2009-09-07,485000,,,,
2004-07-30,325000,,,,
2004-07-28,528000,,,,
2021-03-03,1585000,,,,
2004-06-16,535000,,,,
1996-10-10,193000,,,,
2013-08-23,599995,,,,
1997-04-04,107500,,,,
2015-11-23,530000,,,,
2012-05-11,350000,,,,
2002-12-04,278000,,,,
1997-12-12,137000,,,,
2004-09-29,204000,,,,
2004-01-20,195000,,,,
2001-12-19,167000,,,,
1998-12-30,92000,,,,
2002-05-31,155000,,,,
1997-11-21,77500,,,,
2000-04-11,135000,,,,
2022-06-06,716000,,,,
2011-12-15,490000,,,,
2003-08-01,249950,,,,
1999-01-18,141000,,,,
1996-11-27,107500,,,,
2005-07-29,280000,,,,
1999-09-30,160000,,,,
1995-01-11,87500,,,,
2005-08-11,375000,,,,
1998-09-30,104000,,,,
2005-06-25,340000,,,,
2020-08-10,1740000,,,,
1999-11-03,375000,,,,
2002-11-08,261000,,,,
2006-10-18,417000,,,,
2006-11-29,450000,,,,
2004-05-21,340000,,,,
2016-07-20,1040000,,,,
2005-04-21,415000,,,,
2002-02-04,325000,,,,
2021-03-31,837500,,,,
2004-01-15,470000,,,,
2018-01-09,765000,,,,
2009-10-09,410000,,,,
2005-03-23,640000,,,,
1999-02-05,350000,,,,
2017-09-15,849950,,,,
2012-06-06,530000,,,,
1997-07-08,130000,,,,
2015-09-18,1630000,,,,
1995-08-14,177000,,,,
2024-05-24,945000,,,,
2024-02-23,445000,,,,
2013-02-07,1100000,,,,
2005-03-30,615000,,,,
1998-01-12,262500,,,,
2014-06-19,500000,,,,
2010-10-28,320000,,,,
1999-07-22,95000,,,,
1996-10-24,119000,,,,
2006-12-14,650000,,,,
2002-08-30,402000,,,,
