date,"FLAT 30, BASTERFIELD HOUSE","FLAT 24, BASTERFIELD HOUSE","FLAT 334, CRESCENT HOUSE","FLAT 18, BASTERFIELD HOUSE","FLAT 3, BAYER HOUSE","City of London, all sales average","City of London, flats average","London, all sales average","London, flats average","England, all sales average","England, flats average"
2011-04-01,,,,,,516319,,,,,
2011-10-01,,,,,,450034,,,,,
2011-03-01,,,,,,475353,,,,,
2013-02-01,,,,,,499207,,,,,
2020-01-01,,,,,,773937,,,,,
2003-08-01,,,,,,245449,,,,,
2014-08-01,,,,,,761544,,,,,
2012-12-01,,,,,,491529,,,,,
2005-09-01,,,,,,310906,,,,,
2019-02-01,,,,,,894520,,,,,
2021-03-01,,,,,,703795,,,,,
2002-09-01,,,,,,277047,,,,,
2012-01-01,,,,,,525723,,,,,
2021-04-01,,,,,,721580,,,,,
2013-01-01,,,,,,465451,,,,,
2015-11-01,,,,,,741727,,,,,
1999-06-01,,,,,,185993,,,,,
2000-12-01,,,,,,314772,,,,,
2010-04-01,,,,,,458246,,,,,
2014-12-01,,,,,,773768,,,,,
2015-01-01,,,,,,783667,,,,,
2013-06-01,,,,,,662700,,,,,
2022-10-01,,,,,,920566,,,,,
1998-07-01,,,,,,140377,,,,,
2007-01-01,,,,,,360923,,,,,
2024-01-01,,,,,,837673,,,,,
2013-10-01,,,,,,527374,,,,,
2023-07-01,,,,,,1011540,,,,,
2002-05-01,,,,,,227281,,,,,
2016-10-01,,,,,,792664,,,,,
2002-03-01,,,,,,253697,,,,,
2003-02-01,,,,,,263992,,,,,
2005-08-01,,,,,,305351,,,,,
2011-06-01,,,,,,466525,,,,,
2009-01-01,,,,,,400317,,,,,
2003-07-01,,,,,,260204,,,,,
2021-06-01,,,,,,753197,,,,,
2016-07-01,,,,,,911827,,,,,
2001-05-01,,,,,,223459,,,,,
2000-03-01,,,,,,,177884,,,,
2012-11-01,,,,,,,519601,,,,
2001-06-01,,,,,,,241871,,,,
2020-03-01,,,,,,,844240,,,,
2004-10-01,,,,,,,289314,,,,
2011-07-01,,,,,,,419169,,,,
2000-08-01,,,,,,,221381,,,,
2021-08-01,,,,,,,919882,,,,
2005-03-01,,,,,,,304214,,,,
2022-05-01,,,,,,,886387,,,,
2006-07-01,,,,,,,337519,,,,
2021-10-01,,,,,,,795159,,,,
2004-03-01,,,,,,,272184,,,,
2008-06-01,,,,,,,419698,,,,
2008-08-01,,,,,,,471311,,,,
2001-04-01,,,,,,,205009,,,,
2015-09-01,,,,,,,764837,,,,
2019-08-01,,,,,,,809975,,,,
2021-07-01,,,,,,,885052,,,,
2000-02-01,,,,,,,173714,,,,
2023-01-01,,,,,,,880404,,,,
2009-10-01,,,,,,,398798,,,,
2024-05-01,,,,,,,809976,,,,
2000-04-01,,,,,,,182636,,,,
2008-02-01,,,,,,,452662,,,,
2005-06-01,,,,,,,282276,,,,
2018-07-01,,,,,,,806727,,,,
2012-04-01,,,,,,,522518,,,,
2007-04-01,,,,,,,418048,,,,
2002-07-01,,,,,,,261876,,,,
2013-05-01,,,,,,,576009,,,,
2000-06-01,,,,,,,197680,,,,
2014-11-01,,,,,,,760062,,,,
2007-05-01,,,,,,,410231,,,,
2013-07-01,,,,,,,648764,,,,
1998-12-01,,,,,,,155448,,,,
2021-09-01,,,,,,,906908,,,,
1998-03-01,,,,,,,156148,,,,
2005-11-01,,,,,,,326572,,,,
2000-10-01,,,,,,,244451,,,,
2001-08-01,,,,,,,231097,,,,
2011-05-01,,,,,,,458088,,,,
1999-12-01,,,,,,,168889,,,,
2012-03-01,,,,,,,525614,,,,
2015-10-01,,,,,,,778698,,,,
2020-11-01,,,,,,,768481,,,,
2000-07-01,,,,,,,214295,,,,
2010-09-01,,,,,,,453782,,,,
2019-12-01,,,,,,,755427,,,,
2009-11-01,,,,,,,396829,,,,
1998-05-01,,,,,,,143279,,,,
2020-05-01,,,,,,,914588,,,,
2006-11-01,,,,,,,353653,,,,
2001-11-01,,,,,,,345683,,,,
2006-12-01,,,,,,,364936,,,,
2012-05-01,,,,,,,571567,,,,
2014-10-01,,,,,,,760692,,,,
2004-02-01,,,,,,,300503,,,,
2017-10-01,,,,,,,816190,,,,
2002-08-01,,,,,,,273440,,,,
1998-06-01,,,,,,,131939,,,,
2017-08-01,,,,,,,845130,,,,
2016-04-01,,,,,,,802502,,,,
2009-02-01,,,,,,,392451,,,,
2009-12-01,,,,,,,410835,,,,
2017-02-01,,,,,,,818093,,,,
2011-08-01,,,,,,,420153,,,,
2003-11-01,,,,,,,276954,,,,
2006-03-01,,,,,,,324395,,,,
2016-02-01,,,,,,,762973,,,,
2018-12-01,,,,,,,809562,,,,
